category,color,word,meaning
"Key Phrases - Form the plural, use the present tense",,Les professeurs habitent ici.,The teachers live here.
"Key Phrases - Form the plural, use the present tense",,Nous avons deux filles.,We have two daughters.
"Key Phrases - Form the plural, use the present tense",,Elles travaillent en Angleterre.,They work in England.
"Key Phrases - Form the plural, use the present tense",,Sarah a trois chats.,Sarah has three cats.
"Key Phrases - Form the plural, use the present tense",,Ils étudient le français.,They are studying French.
"Key Phrases - Form the plural, use the present tense",,Il a beaucoup de chiens.,He has a lot of dogs.
Tip - Plural,,un chat,A cat
Tip - Plural,,deux chats,two cats
Tip - Plural,,les garçons,The boys
Tip - Ils and elles,,Ils sont étudients.,They are students.
Tip - Ils and elles,,Elles sont étudientes.,They are students.
Tip - Let's talk about Present Tense!,,je parle,I speak
Tip - Let's talk about Present Tense!,,tu parles,you speak
Tip - Let's talk about Present Tense!,,il parle,He speaks
Tip - Let's talk about Present Tense!,,elle parle,She speaks
Tip - Let's talk about Present Tense!,,nous parlons,we speak
Tip - Let's talk about Present Tense!,,vous parlez,you speak
Tip - Let's talk about Present Tense!,,ils parlent,They speak or They are speaking
Tip - Let's talk about Present Tense!,,elles parlent,"They speak, They are speaking"
Story: At the Park,,Au parc,at the park
Story: At the Park,,Ces femmes sont étudientes.,These women are students.
Story: At the Park,,Elles parlent de l'université!,They are talking about the university!
Story: At the Park,,"Non, elles sont professeurs!","No, they are teachers!"
Story: At the Park,,Elles travaillent à la banque.,They work at the bank.
Story: At the Park,,J'ai une idée...,I've got an idea...
Story: At the Park,,Elles sont journalistes!,They are journalists!
Story: At the Park,,Elles habitent dans un appartment et ont deux chats.,They live in an apartment and have two cats.
Story: At the Park,,Nous allons au restaurant. Tu viens?,We're going to the restaurant. Are you coming?
Radio: Almost a Zoo - Lily and Strangers,,Bonjour je m'appelle Paul. J'ai deux chiens et trois chats.,"Hello, my name is Paul. I have two dogs and three cats."
Radio: Almost a Zoo - Lily and Strangers,,Les chiens mangent les croissants. Les chats mange les pizzas.,The dogs eat the croissants. The cats eat the pizzas.
Radio: Almost a Zoo - Lily and Strangers,,Ils habitent ici avec moi.,They live here with me.
Radio: Almost a Zoo - Lily and Strangers,,Les animaux sont très heureux.,The animals are very happy.
