category,color,word,meaning
Key Phrases - Exchange personal information,,.,period
Radio: Unique Travel Preferences - Lily and Strangers,,Bonjour. Je m'appelle Alice. Je suis jeune et je suis étudiante.,Hello. My name is Alice. I am young and I am a student.
Radio: Unique Travel Preferences - Lily and Strangers,,J'ai treize ans. ,I am thirteen years old.
Radio: Unique Travel Preferences - Lily and Strangers,,Mon frère a quinze ans.,My brother is fifteen years old.
Radio: Unique Travel Preferences - Lily and Strangers,,Il est brun et très gentil.,He is brown and very kind.
Radio: Unique Travel Preferences - Lily and Strangers,,Nous aimons beaucoup les vacances et les voyages.,We really like holidays and travel.
Radio: Morning Routine - Late Nights with Lin,,"Bonjour, je m'appelle Léo. Je viens du Brésil.","Hello, my name is Léo. I come from Brazil."
Radio: Morning Routine - Late Nights with Lin,,Tous les jours je parle anglais avec mes amis.,Every day I speak English with my friends.
Radio: Morning Routine - Late Nights with Lin,,Ils viennent aussi de France et nous parlons du cinéma.,They also come from France and we are talking about cinema.
Radio: Morning Routine - Late Nights with Lin,,Nous sommes jeunes et aimons parlait beaucoup.,We are young and like to talk a lot.
Radio: Morning Routine - Late Nights with Lin,,Je veux parler français aussi.,I want to speak French too.
Radio: Talking About Age - Falstaff’s Guide to Humans,,"Salut, Marie. Quel âge as-tu?","Hello, Marie. How old are you?"
Radio: Talking About Age - Falstaff’s Guide to Humans,,"Salut, Leo. J'ai douze ans.","Hi, Leo. I am twelve years old."
Radio: Talking About Age - Falstaff’s Guide to Humans,,"Ah, moi aussi. J'ai douze ans.","Ah, me too. I am twelve years old."
Radio: Talking About Age - Falstaff’s Guide to Humans,,Tu es brun Léo?,"Are you brown, Léo?"
Radio: Talking About Age - Falstaff’s Guide to Humans,,"Oui, je suis brun et toi?","Yes, I am brown, and you?"
Radio: Talking About Age - Falstaff’s Guide to Humans,,Je suis brune. Nous sommes jeunes n'est-ce pas?,"I am a brunette. We are young, aren't we?"
Radio: Talking About Age - Falstaff’s Guide to Humans,,"Oui, nous sommes jeunes.","Yes, we are young."
