category,color,word,meaning
Key Phrases - Use the present tense,,Marie habite en Italie.,Marie lives in Italy.
Key Phrases - Use the present tense,,Marie est journaliste.,Marie is a journalist.
Key Phrases - Use the present tense,,"J'étudie à New York, et toi?","I study in New York, and you?"
Key Phrases - Use the present tense,,Je travaille à Paris.,I work in Paris.
Key Phrases - Use the present tense,,Je suis en Europe.,I am in Europe.
Key Phrases - Use the present tense,,J'habite avec Marie.,I live with Marie.
Tip - J'habite à Paris!,,J'habite à Paris.,I live in Paris.
Tip - J'habite à Paris!,,J'habite en France.,I live in France.
Tip - J'habite à Paris!,,Je travaille à Madrid.,I work in Madrid.
Tip - J'habite à Paris!,,Je travaille en Espagne.,I work in Spain.
Tip - J'habite à Paris!,,Je travaille en France.,I work in France.
Video Call: Falstaff,,Tu habites où?,Where do you live?
Video Call: Falstaff,,J'habite à Paris.,I live in Paris.
Radio: Brief Encounter - Lily and Strangers,,Bonjour! Je m'appelle Omar. J'étudie en France. ,Hello! My name is Omar. I am studying in France.
Radio: Brief Encounter - Lily and Strangers,,J'étudie à Paris. Je suis étudiant. J'étudie avec un professeur. ,I am studying in Paris. I am a student. I am studying with a professor.
Radio: Brief Encounter - Lily and Strangers,,"Oui, je suis très heureux ici.","Yes, I am very happy here."
Video Call: Falstaff 2,,Tu travaille ici?,Do you work here?
Video Call: Falstaff 2,,"Oui, je travaille ici.","Yes, I work here."
Video Call: Falstaff 2,,"Non, je travaille à Paris.","No, I work in Paris."
Video Call: Falstaff 3,,Tu étudie ou tu travailles?,Are you studying or are you working?
Video Call: Falstaff 3,,J'étudie.,I study. / I am studying.
Video Call: Falstaff 3,,Je travaille.,I work.
Video Call: Falstaff 3,,J'etudie et je travaille.,I study and I work.
Radio: Living in Different Cities,,"Bonjour, Lisa!","Hello, Lisa!"
Radio: Living in Different Cities,,"Bonjour, Louis! Tu habites ici?","Hello, Louis! Do you live here?"
Radio: Living in Different Cities,,"Non, j'habite en Angleterre. Et toi?","No, I live in England. And you?"
