category,color,word,meaning
"Key Phrases - Form the plural, use the present tense",,Les professeurs habitent ici.,The teachers live here.
"Key Phrases - Form the plural, use the present tense",,Nous avons deux filles.,We have two daughters.
"Key Phrases - Form the plural, use the present tense",,Elles travaillent en Angleterre.,They work in England.
"Key Phrases - Form the plural, use the present tense",,Sarah a trois chats.,Sarah has three cats.
"Key Phrases - Form the plural, use the present tense",,Ils étudient le français.,They are studying French.
"Key Phrases - Form the plural, use the present tense",,Il a beaucoup de chiens.,He has a lot of dogs.
Tip - Plural,,un chat,A cat
Tip - Plural,,deux chats,two cats
Tip - Plural,,les garçons,The boys
Tip - Ils and elles,,Ils sont étudients.,They are students.
Tip - Ils and elles,,Elles sont étudientes.,They are students.
Tip - Let's talk about Present Tense!,,je parle,I speak
Tip - Let's talk about Present Tense!,,tu parles,you speak
Tip - Let's talk about Present Tense!,,il parle,He speaks
Tip - Let's talk about Present Tense!,,elle parle,She speaks
Tip - Let's talk about Present Tense!,,nous parlons,we speak
Tip - Let's talk about Present Tense!,,vous parlez,you speak
Tip - Let's talk about Present Tense!,,ils parlent,They speak or They are speaking
Tip - Let's talk about Present Tense!,,elles parlent,"They speak, They are speaking"
Radio: Almost a Zoo - Lily and Strangers,,"Bonjour, je m'appelle Paul. J'ai deux chiens et trois chats.","Hello, my name is Paul. I have two dogs and three cats."
Radio: Almost a Zoo - Lily and Strangers,,Les chiens mangent les croissants. Les chats mange les pizzas.,The dogs eat the croissants. The cats eat the pizzas.
Radio: Almost a Zoo - Lily and Strangers,,Ils habitent ici avec moi.,They live here with me.
Radio: Almost a Zoo - Lily and Strangers,,Les animaux sont très heureux.,The animals are very happy.
Radio: Croissants and Orange - Lucy is Listening,,"Bonjour, Samia.","Hello, Samia."
Radio: Croissants and Orange - Lucy is Listening,,"Bonjour, Paul. Comment ça va?","Hello, Paul. How are you?"
Radio: Croissants and Orange - Lucy is Listening,,"Bien, merci. Et toi?","Fine thanks, and you?"
Radio: Croissants and Orange - Lucy is Listening,,Bien aussi. Merci. Tu manges une pizza?,Good as well. Thank you. Are you eating a pizza?
Radio: Croissants and Orange - Lucy is Listening,,"Non, je mange trois croissants, et toi?","No, I'm eating three croissants, and you?"
Radio: Croissants and Orange - Lucy is Listening,,J'ai une orange et deux croissants.,I have an orange and two croissants.
