category,color,word,meaning
Key Phrases - Use gender and number agreement,,.,period
Radio: Supermarket Goodbye - Lucy is Listening,,"Salut, Paul. Ça va?","Hi, Paul. How are you?"
Radio: Supermarket Goodbye - Lucy is Listening,,"Salut, Léo. Ça va bien. Aujourd'hui je vais au supermarché.","Hello, Léo. I am fine. Today I am going to the supermarket."
Radio: Supermarket Goodbye - Lucy is Listening,,"Ah, le supermarché est ouvert aujourd'hui?","Ah, is the supermarket open today?"
Radio: Supermarket Goodbye - Lucy is Listening,,"Oui, les supermarchés sont ouverts aujourd'hui.","Yes, the supermarkets are open today."
Radio: Supermarket Goodbye - Lucy is Listening,,Tu prends le vélo pour y aller?,Are you taking the bike to go there?
Radio: Supermarket Goodbye - Lucy is Listening,,Non je prends le bus. J'ai un vélo vert mais il est chez moi.,"No, I take the bus. I have a green bike but it is at my place."
Radio: Supermarket Goodbye - Lucy is Listening,,D'accord. Bonne journée au supermarché!,All right. Have a good day at the supermarket!
Radio: Supermarket Goodbye - Lucy is Listening,,"Merci, Léo. À bientôt.","Thank you, Léo. See you soon."
Radio: Big Green House - Late Nights with Lin,,Salut. Je m’appelle Omar. Aujourd’hui je vais au supermarché.,Hello. My name is Omar. Today I am going to the supermarket.
Radio: Big Green House - Late Nights with Lin,,Le supermarché est grand. J'achète des plantes vertes dans le magasin.,The supermarket is big. I buy green plants in the store.
Radio: Big Green House - Late Nights with Lin,,Les plantes pour ma maison. La maison est grande et verte.,The plants for my house. The house is big and green.
Radio: Modern Bicycle - Oscar’s Antique Roadshow,,"Bonjour, je m'appelle Louis. Mon vélo est petit et vert.","Hello, my name is Louis. My bike is small and green."
Radio: Modern Bicycle - Oscar’s Antique Roadshow,,J'aime beaucoup mon vélo. Aujourd'hui je vais au magasin avec mon vélo.,I like my bike a lot. Today I am going to the store with my bike.
Radio: Modern Bicycle - Oscar’s Antique Roadshow,, Le magasin est fermé aujourd'hui.,The store is closed today.
Radio: Modern Bicycle - Oscar’s Antique Roadshow,,Alors je vais au supermarché. Le supermarché est grand. ,So I am going to the supermarket. The supermarket is big.
