category,color,word,meaning
Key Phrases - Shop for clothes,,.,period
Radio: Shopping for clothes - Falstaff’s Guide to Humans,,"Salut, Paul. Tu achètes des vêtements aujourd'hui?","Hi, Paul. Are you buying clothes today?"
Radio: Shopping for clothes - Falstaff’s Guide to Humans,,"Oui, je veux acheter un T-shirt rouge.","Yes, I want to buy a red T-shirt."
Radio: Shopping for clothes - Falstaff’s Guide to Humans,,Ça coûte combien?,How much does it cost?
Radio: Shopping for clothes - Falstaff’s Guide to Humans,,Neuf euros et les chaussures coûtent cinq euros.,Nine euros and the shoes cost five euros.
Radio: Shopping for clothes - Falstaff’s Guide to Humans,,Les chaussures vertes?,The green shoes?
Radio: Shopping for clothes - Falstaff’s Guide to Humans,,"Non, les chaussures rouges.","No, the red shoes."
Radio: Shopping for clothes - Falstaff’s Guide to Humans,,"Ah, elles sont parfaites avec le T-shirt.","Ah, they are perfect with the T-shirt."
Radio: Red Jacket - Lucy is Listening,,"Bonjour, Louis. Tu achètes des vêtements aujourd'hui?","Hello, Louis. Are you buying clothes today?"
Radio: Red Jacket - Lucy is Listening,,"Bonjour, Paul. Oui, je veux un sac et une veste rouge.","Hello, Paul. Yes, I want a bag and a red jacket."
Radio: Red Jacket - Lucy is Listening,,"Ah, une veste rouge. Combien ça coûte?","Ah, a red jacket. How much does it cost?"
Radio: Red Jacket - Lucy is Listening,,La veste coûte huit euros.,The jacket costs eight euros.
Radio: Red Jacket - Lucy is Listening,,Et les chaussures rouges - tu vas les acheter aussi?,And the red shoes - are you going to buy them too?
Radio: Red Jacket - Lucy is Listening,,Non je ne veux pas de chaussures rouges aujourd'hui.,"No, I don't want red shoes today."
Radio: The Red Dress - Oscar’s Antique Roadshow,,"Bonjour, je m'appelle Paul.","Hello, my name is Paul."
Radio: The Red Dress - Oscar’s Antique Roadshow,,Voici ma robe rouge.,Here is my red dress.
Radio: The Red Dress - Oscar’s Antique Roadshow,, La robe est très jolie.,The dress is very pretty!
Radio: The Red Dress - Oscar’s Antique Roadshow,,Cette robe est chère.,This dress is expensive.
Radio: The Red Dress - Oscar’s Antique Roadshow,,Elle coûte huit euros.,It costs eight euros.
Radio: The Red Dress - Oscar’s Antique Roadshow,,J'aime beaucoup cette robe. ,I really like this dress.
