category,color,word,meaning
Key Phrases - Talk about hobbies,,Tu chantes souvent?,Do you often sing?
Key Phrases - Talk about hobbies,,"Oui, je chante tous le jours.","Yes, I sing every day."
Key Phrases - Talk about hobbies,,J'aime travailler ici.,I like working here.
Key Phrases - Talk about hobbies,,Tu veux dessiner?,Do you want to draw?
Key Phrases - Talk about hobbies,,Vous aimez voyager?,Do you like to travel?
Tip - No more silence!,,les,the (plural definite article) or them (pronoun)
Tip - No more silence!,,les enfants,children
Tip - No more silence!,,grand,"tall, big, long, great"
Tip - No more silence!,,grand arbre,big tree
Tip - No more silence!,,Je pars et il arrive.,I am leaving and he is arriving.
New words - Radio,,pendant,during
Radio: Fun Activities - Late Nights with Lin,,"Bonjour, je m'appelle Marie. Je marche beaucoup tous les jours.","Hello, my name is Marie. I walk a lot every day."
Radio: Fun Activities - Late Nights with Lin,,Aujourd'hui je marche au parc près de chez moi.,Today I walk in the park near my house.
Radio: Fun Activities - Late Nights with Lin,,J'aime écouter de la musique pendant que je marche.,I like listening to music while I walk.
Radio: Fun Activities - Late Nights with Lin,,Parfois je danse aussi. C'est très amusant.,Sometimes I also dance. It's very fun.
New words - Story,,devoir,"must, to have to, to owe, duty, homework"
New words - Story,,les dinosaures,the dinosaurs
New words - Story,,besoin,to need
New words - Story,,peux m'aider,can you help me
New words - Story,,c'est sur quoi,What is it about?
New words - Story,,parce que,because
New words - Story,,vieille,old
New words - Story,,dois connaître,need to know
Story: Lucie and the Dinosaurs,,Lucie et les dinosaures,Lucie and the dinosaurs
Story: Lucie and the Dinosaurs,,Lucie ouvre la porte de son appartement.,Lucie opens the door of her apartment.
Story: Lucie and the Dinosaurs,,"Salut, Junior!","Hi, Junior!"
Story: Lucie and the Dinosaurs,,Salut! Tu peux m'aider avec mes devoir?,Hello! Can you help me with my homework?
Story: Lucie and the Dinosaurs,,"Ah, oui! J'écris très bien et j'ai un super blog!",Oh yes! I write very well and I have a great blog!
Story: Lucie and the Dinosaurs,,Tu lis mon blog?,Are you reading my blog?
Story: Lucie and the Dinosaurs,,Euh... non.,"Uh, no."
Story: Lucie and the Dinosaurs,,J'ai beaucoup de livre.,I have a lot of books.
Story: Lucie and the Dinosaurs,,Tu as besoin de mes livres pour tes devoirs?,Do you need my books for your homework?
Story: Lucie and the Dinosaurs,,"Non, je n'ai pas besoin de tes livres.","No, I do not need your books."
Story: Lucie and the Dinosaurs,,C'est sur quoi tes devoir?,What is your homework about?
Story: Lucie and the Dinosaurs,,Sur les dinosaures.,On dinosaurs.
Story: Lucie and the Dinosaurs,,Et pourquoi tu as besoin de mon aide?,And why do you need my help?
Story: Lucie and the Dinosaurs,,Parce que tu es vieille.,Because you are old.
Story: Lucie and the Dinosaurs,,Tu dois connaître beaucoup de dinosaures.,You must know a lot of dinosaurs.
Story: Lucie and the Dinosaurs,,"Au revoir, Junior.","Goodbye, Junior."
Radio: Human Preferences - Falstaff’s Guide to Humans,,"Salut, Paul. Comment ça va?","Hello, Paul. How are you?"
Radio: Human Preferences - Falstaff’s Guide to Humans,,"Salut, Marie. Ça va bien. Tu danses beaucoup?","Hi, Marie. I'm doing well. Do you dance a lot?"
Radio: Human Preferences - Falstaff’s Guide to Humans,,"Oui, j'aime danser. Et toi, tu danses?","Yes, I like dancing. And you, do you dance?"
Radio: Human Preferences - Falstaff’s Guide to Humans,,"Non, je préfère chanter.","No, I prefer to sing."
Radio: Human Preferences - Falstaff’s Guide to Humans,,"Ah, intéressant. Tu écoutes la radio aussi?","Ah, interesting. Do you listen to the radio too?"
Radio: Human Preferences - Falstaff’s Guide to Humans,,"Oui, chaque matin. Et toi tu écoutes souvent?","Yes, every morning. And you, do you listen often?"
Radio: Human Preferences - Falstaff’s Guide to Humans,,"Oui, j'écoute la radio le soir.","Yes, I listen to the radio in the evening."
Speak: Ask About Habits,,Tu danses souvent?,Do you dance often?
Speak: Ask About Habits,,"Oui, je danse tous les jours.","Yes, I dance every day."
Speak: Ask About Habits,,Tu chantes souvent?,Do you sing often?
Speak: Ask About Habits,,"Oui, je chante tous le jours.","Yes, I sing every day."
New words - Story,,faciles,easy
New words - Story,,nourriture,food
New words - Story,,voit,[s/he] sees
New words - Story,,derrière,"behind, back, backside"
Story: The Dog,,Le chien,The dog
Story: The Dog,,Eddy et Junior mangent dans un parc.,Eddy and Junior are eating in a park.
Story: The Dog,,Je veux un chien.,I want a dog.
Story: The Dog,,"Junior, les chiens ne sont pas faciles.","Junior, dogs are not easy."
Story: The Dog,,Le chiens ont besoin de marcher beaucoup.,The dogs need to walk a lot.
Story: The Dog,,J'aime marcher!,I like to walk!
Story: The Dog,,Les chiens ont bosoin de jouer beaucoup.,Dogs need to play a lot.
Story: The Dog,,J'aime jouer!,I like to play!
Story: The Dog,,Et la nourriture pour chien est chère.,And the dog food is expensive.
Story: The Dog,,Le chien peut manger ma nourriture!,The dog can eat my food!
Story: The Dog,,"Junior, où est ton sandwich?","Junior, where is your sandwich?"
Story: The Dog,,Et où est ta salade?,And where is your salad?
Story: The Dog,,Eddy voit un chien derrière Junior.,Eddy sees a dog behind Junior.
Story: The Dog,,Junior! C'est un chien derrière toi?,Junior! Is that a dog behind you?
Story: The Dog,,Oui! C'est mon ami. Il est très intelligent.,Yes! He is my friend. He is very intelligent.
Story: The Dog,,Il monge ton sandwich et ta salade?,Is he eating your sandwich and your salad?
Story: The Dog,,"Oui! Les chiens, c'est facile, Papa!","Yes! Dogs are easy, Daddy!"
New words - Radio,,promenades,walk
