category,color,word,meaning
Key Phrases - Tell time,,Tu dors a midi?,Do you sleep at noon?
Key Phrases - Tell time,,Il est huit heures du soir.,It is 8 pm.
Key Phrases - Tell time,,Il est neuf heures du matin.,It is nine o'clock in the morning.
Key Phrases - Tell time,,Il est tard.,It's late.
Key Phrases - Tell time,,Je duis rentrer avant minuit.,I must go home before midnight.
Key Phrases - Tell time,,Il est trois heures et quart.,It's a quarter past three.
Tip - Resent Tense,,Je viens,I come
Tip - Resent Tense,,Nous venons,we come
Tip - Resent Tense,,Je dois venir.,I must come.
Tip - Resent Tense,,Je dois manger.,I have to eat.
Radio: Early Coffee - Late Nights with Lin,,Bonjour! Je m'appelle Léo. ,Hello! My name is Léo.
Radio: Early Coffee - Late Nights with Lin,,Tous les jours je prends un café avec un peu de sucre.,Every day I have a coffee with a little sugar.
Radio: Early Coffee - Late Nights with Lin,,Il est cinq heures du matin et je bois mon café dans ma cuisine.,It is five o'clock in the morning and I am drinking my coffee in my kitchen.
Radio: Early Coffee - Late Nights with Lin,,Mon frigo est très grand avec beaucoup de lait parfois.,My fridge is very big with a lot of milk sometimes.
Radio: Early Coffee - Late Nights with Lin,,Je sors de bon matin pour acheter plus de café ensuite je prépare un bon petit-déjeuner,I go out early in the morning to buy more coffee then I prepare a good breakfast
Story: This Is Not Art,,Ce n'est pas de l'art,It's not art
Story: This Is Not Art,,Eddy et son ami Oscar sont au musée.,Eddy and his friend Oscar are at the museum.
Story: This Is Not Art,,Eddy regarde une sculpture de chien.,Eddy is looking at a dog sculpture.
Story: This Is Not Art,,C'est ma sculpture préférée ici!,This is my favorite sculpture here!
Story: This Is Not Art,,Cette sculpture est ennuyeuse.,This sculpture is boring.
Story: This Is Not Art,,Quoi? J'adore les chiens.,What? I love dogs.
Story: This Is Not Art,,Je suis professeur d'art. Je connais l'art.,I am an art teacher. I know art.
Story: This Is Not Art,,"Cette sculpture, ce n'est pas de l'art.","This sculpture, it is not art."
Story: This Is Not Art,,Pourquoi?,Why?
Story: This Is Not Art,,L'art est intéressant!,Art is interesting!
Story: This Is Not Art,,L'art est original!,The art is original!
Story: This Is Not Art,,Oscar regarde un sandwich sur une chaise.,Oscar looks at a sandwich on a chair.
Story: This Is Not Art,,"Ça, c'est de l'art!","That, that's art!"
Story: This Is Not Art,,Quoi?,What?
Story: This Is Not Art,,Oui! Cèst intéressant et original! L'artiste est génial!,Yes! That's interesting and original! The artist is brilliant!
Story: This Is Not Art,,Je ne comprends pas l'art.,I do not understand art.
Story: This Is Not Art,,"Un homme arrive. Il prend le sandwich, et le mange.","A man arrives. He takes the sandwich, and eats it."
Story: This Is Not Art,,"Excusez-moi! Vous ne pouvez pas manger ça, c'est de l'art!","Excuse me! You cannot eat that, it is art!"
Story: This Is Not Art,,Ce n'est pas de l'art... C'est mon déjeuner.,It's not art... It's my lunch.
Radio: Time Talk - Falstaff’s Guide to Humans,,"Bonjour Léo. Il est tôt, n'est-ce pas?","Hello Léo. It is early, isn't it?"
Radio: Time Talk - Falstaff’s Guide to Humans,,"Oui, il est cinq heures du matin.","Yes, it is five o'clock in the morning."
Radio: Time Talk - Falstaff’s Guide to Humans,,Tu sors de chez Paul?,Are you leaving Paul's place?
Radio: Time Talk - Falstaff’s Guide to Humans,,"Non, je sors du travail.","No, I'm leaving work."
Radio: Time Talk - Falstaff’s Guide to Humans,,"Ah, je dois rentrer bientôt.","Ah, I have to go home soon."
Radio: Time Talk - Falstaff’s Guide to Humans,,Chez toi ou chez Alice et Paul?,At your place or at Alice and Paul's?
Radio: Time Talk - Falstaff’s Guide to Humans,,Chez moi pour prendre un peu de café.,At my place to have some coffee.
"Story: A Coffee, Please",,"Un café, s'il te plaît.","A cup of coffee, please."
"Story: A Coffee, Please",,"Eddy est au restaurant avec son fils, Junior.","Eddy is at the restaurant with his son, Junior."
"Story: A Coffee, Please",,"Salut, Eddy! Tu veux un thé?","Hello, Eddy! Do you want a tea?"
"Story: A Coffee, Please",,"Non, je vooudrais un café, s'il te plaît.","No, I would like a coffee, please."
"Story: A Coffee, Please",,Avec du lait?,With milk?
"Story: A Coffee, Please",,"Oui, s'il te plaît. ","Yes, please."
"Story: A Coffee, Please",,Et avec du sucre?,And with sugar?
"Story: A Coffee, Please",,"Oui, merci!","Yes, thank you!"
"Story: A Coffee, Please",,Ah oui! Un café pour moi aussi!,Oh yes! A coffee for me too!
"Story: A Coffee, Please",,Pardon? Un café?,Excuse me? A coffee?
"Story: A Coffee, Please",,Oui! Je vuex une tasse avec du lait... du sucre... et de la glace!,Yes! I want a cup with milk... sugar... and ice!
"Story: A Coffee, Please",,"Un café avec... de la glace, du lait et du sucre?!","A coffee with... ice, milk, and sugar?!"
"Story: A Coffee, Please",,"Non, pas la café!","No, not the coffee!"
"Story: A Coffee, Please",,Ah... tu veux un milk-shake!,Ah... you want a milk-shake!
"Story: A Coffee, Please",,Oui!,Yes!
"Story: A Coffee, Please",,"Oh, je veux un milk-shake aussi.","Oh, I want a milkshake too."
"Story: A Coffee, Please",,"Deux milk-shakes, s'il te plaît!","Two milkshakes, please!"
Radio: Noon meeting - Lucy is Listening,,"Bonjour Marie. Il est tôt aujourd'hui, non?","Hello Marie. It's early today, isn't it?"
Radio: Noon meeting - Lucy is Listening,,Bonjour Léo. Il est cinq heures du matin.,Hello Leo. It is five o'clock in the morning.
Radio: Noon meeting - Lucy is Listening,,Je vais prendre un peu de café dans la cuisine.,I will have some coffee in the kitchen.
Radio: Noon meeting - Lucy is Listening,,Très bien. Il y a du sucre dans le placard.,Very good. There is sugar in the cupboard.
Radio: Noon meeting - Lucy is Listening,,Merci. Nous mangeons à midi aujourd'hui?,Thank you. Are we eating at noon today?
Radio: Noon meeting - Lucy is Listening,,"Oui, à midi. Tu dois rentrer chez toi avant de manger.","Yes, at noon. You must go home before eating."
Radio: The Kitchen Clock,,"Bonjour, je m'appelle Omar. Chez moi il y a une grande horloge. ","Hello, my name is Omar. At my place, there is a large clock."
Radio: The Kitchen Clock,,l'horloge est dans la cuisine près de la table,The clock is in the kitchen near the table
Radio: The Kitchen Clock,,J'aime cette horloge parce qu'elle est très jolie.,I like this clock because it is very pretty.
Radio: The Kitchen Clock,,Il est huit heures du matin et je mange à la table de la cuisine. ,It is eight o'clock in the morning and I am eating at the kitchen table.
Radio: The Kitchen Clock,,Avant midi je prépare un café.,Before noon I prepare a coffee.
New words - Radio,,ensuite,then
New words - Radio,,glace,"ice, ice cream, mirror, window, sheet of glass"
New words - Radio,,milk-shake,milkshake
New words - Radio,,avant de manger,before eating
New words - Radio,,parce que,because
New words - Story,,ennuyeuse,"boring, dull"
New words - Story,,sculpture,sculpture
New words - Story,,connais,know
New words - Story,,original,original
New words - Story,,comprends,understand
New words - Story,,Un homme arrive,A man arrives
New words - Story,,génial,brilliant
