category,color,word,meaning
Key Phrases - Discuss travel plans,,.,.
Radio: Human Vacation Plans - Falstaff’s Guide to Humans,,Salut Emma.  L'hiver prochain nous allons partir en vacances.,Hi Emma. Next winter we are going on vacation.
Radio: Human Vacation Plans - Falstaff’s Guide to Humans,,"Ah, où allez-vous?","Ah, where are you going?"
Radio: Human Vacation Plans - Falstaff’s Guide to Humans,,Nous allons à la montagne pour faire du ski.,We are going to the mountains to ski.
Radio: Human Vacation Plans - Falstaff’s Guide to Humans,,C'est amusant.  Vous allez voyager avec des amis?,It's fun. Are you going to travel with friends?
Radio: Human Vacation Plans - Falstaff’s Guide to Humans,,"Oui, nous allons voyager avec elles. Et toi? Que fais-tu l'été prochain?","Yes, we are going to travel with them. And you? What are you doing next summer?"
Radio: Human Vacation Plans - Falstaff’s Guide to Humans,,Je vais faire de la plongée avec mon frère.,I am going scuba diving with my brother.
Radio: Vacation Plans - Late Nights with Lin,,"Bonjour, je m'appelle Emma. Tous les jours, je prépare mes bagages pour un voyage.","Hello, my name is Emma. Every day, I prepare my bags for a trip."
Radio: Vacation Plans - Late Nights with Lin,,Nous allons partir la semaine prochaine.,We are leaving next week.
Radio: Vacation Plans - Late Nights with Lin,,Nous allons faire du ski à la montagne.,We are going to ski in the mountains.
Radio: Vacation Plans - Late Nights with Lin,,J’aime faire du ski en hiver.,I like to ski in the winter.
Radio: Vacation Plans - Late Nights with Lin,,"Cette année, je vais passer mes vacances avec mon ami.","This year, I'm going to spend my vacation with my friend."
Radio: Photos of Past Trips - Lily and Strangers,,Bonjour je m'appelle Léo. Je vais partir en vacances le mois prochain.,"Hello, my name is Léo. I am going on vacation next month."
Radio: Photos of Past Trips - Lily and Strangers,,Je vais faire de la plongée.,I am going diving. I have a lot of photos from my previous trips.
Radio: Photos of Past Trips - Lily and Strangers,,J'ai beaucoup de photos de mes voyages précédents.,Please provide the French text you would like translated.
Radio: Photos of Past Trips - Lily and Strangers,,"Cette année, je vais voyager avec mes amis.","This year, I will travel with my friends."
Radio: Photos of Past Trips - Lily and Strangers,,Nous allons passer du bon temps ensemble. ,We are going to have a good time together.
