category,color,word,meaning
"Key Phrases - Talk about food, use gender and number agreement",,.,period
Radio: Food Preparation - Falstaff’s Guide to Humans,,"Bonjour, Omar. Tu prépares le déjeuner aujourd'hui?","Hello, Omar. Are you preparing lunch today?"
Radio: Food Preparation - Falstaff’s Guide to Humans,,"Bonjour, Paul. Oui, je prépare un plat français.","Hello, Paul. Yes, I am preparing a French dish."
Radio: Food Preparation - Falstaff’s Guide to Humans,,"Très bon, les légumes sont prêts?","Very good, are the vegetables ready?"
Radio: Food Preparation - Falstaff’s Guide to Humans,,"Oui, et le gâteau est prêt aussi.","Yes, and the cake is ready too."
Radio: Food Preparation - Falstaff’s Guide to Humans,,"Ah, un gâteau. C'est un bon dessert.","Ah, a cake. It's a good dessert."
Radio: Food Preparation - Falstaff’s Guide to Humans,,"Oui, et j’ai des fruits aussi.  Cette pomme est bonne.","Yes, and I have fruits too. This apple is good."
Rado: Fruity Espionage - Lucy is Listening,,"Bonjour, Omar. Ce matin je prépare un gâteau.","Hello, Omar. This morning I am preparing a cake."
Rado: Fruity Espionage - Lucy is Listening,,"Bonjour, Samia. Le gâteau est prêt?","Hello, Samia. Is the cake ready?"
Rado: Fruity Espionage - Lucy is Listening,,"Oui, et je cuisine des légumes aussi.","Yes, and I cook vegetables too."
Rado: Fruity Espionage - Lucy is Listening,,Très bien. Nous prenons le petit déjeuner ensemble?,Very well. Shall we have breakfast together?
Rado: Fruity Espionage - Lucy is Listening,,"Oui, nous prenons un thé et des fruits.","Yes, we are having tea and fruit."
Rado: Fruity Espionage - Lucy is Listening,,Ces fruits sont bons.  Merci.,These fruits are good. Thank you.
Radio: Dessert Ideas - Lily and Strangers,,"Bonjour, je m'appelle Paul. Je prépare le dîner ce soir.","Hello, my name is Paul. I'm making dinner tonight."
Radio: Dessert Ideas - Lily and Strangers,,J'aime cuisiner des plats avec des légumes et des fruits.,I like to cook dishes with vegetables and fruits.
Radio: Dessert Ideas - Lily and Strangers,,Je prépare une pizza et un gâteau pour le dessert.,I am preparing a pizza and a cake for dessert.
Radio: Dessert Ideas - Lily and Strangers,,Cette pizza est prête et elle a l'air bonne.,This pizza is ready and it looks good.
Radio: Dessert Ideas - Lily and Strangers,,Je vais aussi servir des pommes pour un dessert simple.,I will also serve apples for a simple dessert.
