category,color,word,meaning
Key Phrases - Discuss destinations,,.,period
Radio: Cafe Travel Tales - Lucy is Listening,,Salut Louis. J'aime les vacances.,Hello Louis. I like vacations.
Radio: Cafe Travel Tales - Lucy is Listening,,Salut Paul. Oui moi aussi. Tu visites Paris?,"Hi Paul. Yes, me too. Are you visiting Paris?"
Radio: Cafe Travel Tales - Lucy is Listening,,"Non je vais à la plage. Et toi, où vas-tu?","No, I'm going to the beach. And you, where are you going?"
Radio: Cafe Travel Tales - Lucy is Listening,,Je visite un musée en Espagne.,I am visiting a museum in Spain.
Radio: Cafe Travel Tales - Lucy is Listening,,"Ah, c'est chouette. Nous visitons un musée avec ma famille aussi.","Ah, that's great. We are visiting a museum with my family too."
Radio: Cafe Travel Tales - Lucy is Listening,,Super! Les musées sont intéressants. Bonnes vacances.,Great! The museums are interesting. Have a good vacation.
Radio: Cafe Travel Tales - Lucy is Listening,,"Merci, à bientôt.","Thank you, see you soon."
Radio: Humans and Travel - Falstaff’s Guide to Humans,,Bonjour Marie. Tu voyages beaucoup?,Hello Marie. Do you travel a lot?
Radio: Humans and Travel - Falstaff’s Guide to Humans,,"Oui, nous voyageons avec mes frères.","Yes, we are traveling with my brothers."
Radio: Humans and Travel - Falstaff’s Guide to Humans,,C'est bien. Où vas-tu pour tes vacances?,That's good. Where are you going for your vacation?
Radio: Humans and Travel - Falstaff’s Guide to Humans,,Je visite l'Angleterre. Et toi?,I am visiting England. And you?
Radio: Humans and Travel - Falstaff’s Guide to Humans,,Je vais aux États-Unis.,I'm going to America.
Radio: Humans and Travel - Falstaff’s Guide to Humans,,Super. Le Japon est un pays que je veux visiter aussi.,Great. Japan is a country I want to visit too.
Radio: Humans and Travel - Falstaff’s Guide to Humans,,Oui moi aussi un jour.,Yes me too one day.
Radio: Family Travel - Lily and Strangers,,"Bonjour, je m'appelle Léo. J’aime voyager.","Hello, my name is Léo. I like to travel."
Radio: Family Travel - Lily and Strangers,,Je voyage avec ma famille.,I travel with my family.
Radio: Family Travel - Lily and Strangers,,Nous allons aux États-Unis pour les vacances.,We are going to the United States for vacation.
Radio: Family Travel - Lily and Strangers,,Nous visitons les plages et les musées.,We visit the beaches and the museums.
Radio: Family Travel - Lily and Strangers,,C'est un voyage très amusant.,It is a very fun trip.
