category,color,word,meaning
Key Phrases - Ask questions,,Qui êtes-vous?,Who are you?
Key Phrases - Ask questions,,Où travaille-elles?,Where do they work?
Key Phrases - Ask questions,,Pourquoi es-tu ici?,Why are you here?
Key Phrases - Ask questions,,Quand vas-vu au cinéma?,When are you going to the movie theater?
Key Phrases - Ask questions,,Où étudiez-vous?,Where do you study?
Tip - Speak you French?,,Tu parles chinois. ,You speak Chinese.
Tip - Speak you French?,,Parles-tu chinois?,Do you speak Chinese?
Tip - Speak you French?,,Tu habites au Luxembourg.,You live in Luxembourg.
Tip - Speak you French?,,Habites-tu au Luxembourg?,Do you live in Luxembourg?
Tip - Speak you French?,,Êtes-vous professeur?,Are you a teacher?
Radio: Family Trip Conversation,,"Bonjour, comment vas-tu?","Hello, how are you?"
Radio: Family Trip Conversation,,"Bonjour, Omar. Je vais bien, et toi?","Hello, Omar. I am fine, and you?"
Radio: Family Trip Conversation,,Je vais bien aussi.,I'm fine too.
Radio: Family Trip Conversation,,Aimes-tu ce voyage?,Do you like this trip?
Radio: Family Trip Conversation,,"Oui, c'est intéressant, et toi? Aimes-tu?","Yes, that's interesting, and you? Do you like it?"
Radio: Family Trip Conversation,,"Oui, j'aime beaucoup. Avec qui es-tu ici?","Yes, I like it a lot. Who are you here with?"
Radio: Family Trip Conversation,,"Je suis avec ma famille, et toi?","I am with my family, and you?"
Radio: Family Trip Conversation,,"Moi aussi, je suis avec ma famille.","Me too, I am with my family."
Story: I Want This Jacket!,,Je veux cette veste!,I want this jacket!
Story: I Want This Jacket!,,"Lily est dans un magasin avec son amie, Zari.","Lily is in a store with her friend, Zari."
Story: I Want This Jacket!,,C'est cher ici.,It's expensive here.
Story: I Want This Jacket!,,Oui...,Yes...
Story: I Want This Jacket!,,Waouh!,wow
Story: I Want This Jacket!,,Cette veste est super!,This jacket is great!
Story: I Want This Jacket!,,J'aime beaucoup la couleur.,I really like the color.
Story: I Want This Jacket!,,Je veux cette veste!,I want this jacket!
Story: I Want This Jacket!,,La veste est à cent euros.,The jacket is a hundred euros.
Story: I Want This Jacket!,,Elle est très chère.,She is very expensive.
Story: I Want This Jacket!,,Cent euros?!,One hundred euros?!
Story: I Want This Jacket!,,Oui...,Yes...
Story: I Want This Jacket!,,J'ai une idée!,I've got an idea!
Story: I Want This Jacket!,,C'est bientôt mon anniversaire.,My birthday is coming soon.
Story: I Want This Jacket!,,Oui?,Yes?
Story: I Want This Jacket!,,Et tu es ma meilleure amie!,And you are my best friend!
Story: I Want This Jacket!,,Oui...,Yes...
Story: I Want This Jacket!,,Tu peux acheter...,You can buy...
Story: I Want This Jacket!,,Une veste pas chère pour toi?,A cheap jacket for you?
New Words - Story,,meilleure,better or best
