category,color,word,meaning
Key Phrases - Talk to someone formally,,Vous venez d'Italie?,Are you from Italy?
Key Phrases - Talk to someone formally,,"Bonne journée, Monsieur","Have a nice day, Sir"
Key Phrases - Talk to someone formally,,Voulez-vous manger ici?,Would you like to eat here?
Key Phrases - Talk to someone formally,,"Excusez-moi, j'ai une question.","Excuse me, I have a question."
Key Phrases - Talk to someone formally,,"Je ne sais pas, Mademoiselle.","I don't know, Miss."
"Tip - Good day, sir!",,Tu aimes le vin?,Do you like wine?
"Tip - Good day, sir!",,"Madame, voyagez-vous avec votre fille?","Madam, are you traveling with your daughter?"
"Tip - Good day, sir!",,"Madame, voulez-vous du café?","Madam, would you like some coffee?"
Tip - Which what is which?,,Quel train va à Paris?,Which train goes to Paris?
Tip - Which what is which?,,Quelle est votre profession?,What is your profession?
Tip - Which what is which?,,Quel est votre bagage?,What is your baggage?
Tip - Which what is which?,,Quelle est votre destination?,What is your destination?
Tip - Which what is which?,,Quelle est la nationalité de Paul?,What is Paul's nationality?
New words - Talk to someone formally,,Monsieur,Mister or Mr. (also gentleman or sir)
New words - Talk to someone formally,,Mademoiselle,Miss
New words - Talk to someone formally,,Madame,"Mrs., Madam, Lady"
New words - Talk to someone formally,,De rien,You're welcome
New words - Talk to someone formally,,Excusez-moi,Excuse me
New words - Talk to someone formally,,"Comment allez vous, Monsieur Dumas","How are you, Mr. Dumas"
New words - Talk to someone formally,,Je ne sais pas.,I don't know.
New words - Talk to someone formally,,Vous pouvez venir.,You can come.
New words - Talk to someone formally,,Pouvez-vous voyager?,Can you travel?
New words - Talk to someone formally,,quelque chose,something
New words - Talk to someone formally,,"Nous avons du thé, du café, et beaucoup de jus.","We have tea, coffee, and a lot of juice."
New words - Talk to someone formally,,Je voudrais boire un jus d'orange.,I would like to drink an orange juice.
New words - Talk to someone formally,,Je peux manger le dessert acant les légumes?,Can I eat the dessert before the vegetables?
New words - Talk to someone formally,,le prénom,first name
New words - Talk to someone formally,,le nom de famille,the last name
New words - Talk to someone formally,,Vous venez d'Italie?,Are you from Italy?
New words - Talk to someone formally,,Quel est votre numéro?,What is your number?
New words - Talk to someone formally,,ma profession,my profession
New words - Talk to someone formally,,Quelle est votre profession?,What is your occupation?
New words - Talk to someone formally,,ma destination,my destination
New words - Talk to someone formally,,la nationalité,nationality
New words - Talk to someone formally,,l'Afrique,Africa
New words - Talk to someone formally,,Quelle est votre destination en Afrique?,What is your destination in Africa?
New words - Talk to someone formally,,une question,a question
New words - Talk to someone formally,,Avez-vous des question?,Do you have any questions?
New words - Talk to someone formally,,le vol,flight
New words - Talk to someone formally,,Tu es en retard,You are late.
New words - Talk to someone formally,,Le vol est en retard,The flight is late.
New words - Talk to someone formally,,attendre,"to wait for, to await, to expect"
New words - Talk to someone formally,,Tu dois attendre,You have to wait
New words - Talk to someone formally,,Elle va attendre,She is going to wait
New words - Talk to someone formally,,Pouvez-vous attendre ici?,Can you wait here?
New words - Talk to someone formally,,bagages,luggage
New words - Talk to someone formally,,Mes bagages sont ici,My luggage is here
Radio: A Café Encouter,,"Excusez-moi, mademoiselle. ","Excuse me, miss."
Radio: A Café Encouter,,Voulez-vous boire quelque chose?,Would you like a drink?
Radio: A Café Encouter,,"Oui, je voudrais du jus, s'il vous plaît.","Yes, I would like some juice, please."
Radio: A Café Encouter,,Bien sûr. Vous venez d'Europe.,Of course. You come from Europe.
Radio: A Café Encouter,,"Non, je viens des États-Unis, et vous?","No, I come from the United States, and you?"
Radio: A Café Encouter,,Je viens d'Afrique. Quel est votre destination? ,I come from Africa. What is your destination?
Radio: A Café Encouter,,Je vais en France. Vous voyagez où?,I'm going to France. Where are you traveling?
Radio: A Café Encouter,,Je vais en Italie. Bonne journée.,I am going to Italy. Have a nice day.
Radio: A Café Encouter,,"Merci, bonne journée à vous aussi.","Thank you, have a good day to you too."
Story: Lily's Clothes,,Les vêtements de Lily,Lily's clothes
Story: Lily's Clothes,,Zari est avec Lily. Elle regarde les vêtements de Lily.,Zari is with Lily. She is looking at Lily's clothes.
Story: Lily's Clothes,,Tu as beaucoup de vêtements violets.,You have a lot of purple clothes.
Story: Lily's Clothes,,J'aime beaucoup le violet!,I really like purple!
Story: Lily's Clothes,,Tu as six T-shirts violets.,You have six purple T-shirts.
Story: Lily's Clothes,,Ils vont bien avec mes vestes violettes.,They go well with my purple jackets.
Story: Lily's Clothes,,Et cinq chapeaux violets?,And five purple hats?
Story: Lily's Clothes,,Je n'aime pas le soleil.,I don't like the sun.
Story: Lily's Clothes,,Zari regarde dans sa veste.,Zari looks in her jacket.
Story: Lily's Clothes,,Elle a des lunettes de soleil rouges pour Lily.,She has red sunglasses for Lily.
Story: Lily's Clothes,,Il y a un nouveau magasin en ville.,There is a new store in town.
Story: Lily's Clothes,,"Regarde, c'est por toi!","Look, it's for you!"
Story: Lily's Clothes,,Le rouge est super pour toi!,Red is great for you!
Story: Lily's Clothes,,Le magasin n'a pas de lunettes de soleil violettes?,The store doesn't have any purple sunglasses?
Radio: Human Introductions,,"Excusez moi, Madame. Votre nom de famille, s'il vous plaît?","Excuse me, Ma'am. Your last name, please?"
Radio: Human Introductions,,Je suis Lisa Dubois. ,I am Lisa Dubois.
Radio: Human Introductions,,Vous voyagez avec votre femme?,Are you traveling with your wife?
Radio: Human Introductions,,"Non, je voyage seule.","No, I travel alone."
Radio: Human Introductions,,Voulez vous un café?,Would you like a coffee?
Radio: Human Introductions,,"Oui, s'il vous plaît.","Yes, please."
Radio: Human Introductions,,"Bonne journée, Madame Dubois.","Have a good day, Madam Dubois."
Radio: Human Introductions,,"Merci, à bientôt.","Thank you, and see you soon."
Story: I want a Pizza,,Je veux une pizza.,I want a pizza.
Story: I want a Pizza,,Lin marche dans la rue.,Lin is walking down the street.
Story: I want a Pizza,,Elle a deux pizzas.,She has two pizzas.
Story: I want a Pizza,,Elle voit Oscar.,She sees Oscar.
Story: I want a Pizza,,"Salut, Lin. Ça sent bon!","Hi, Lin. That smells good!"
Story: I want a Pizza,,"Oui, ce sont des pizzas de chez Emilio.","Yes, they are pizzas from Emilio's."
Story: I want a Pizza,,"Oh, j'adore ce restaurant.","Oh, I love this restaurant."
Story: I want a Pizza,,Je veux une pizza maintenant!,I want a pizza now!
Story: I want a Pizza,,"Oh, mais le restaurant est fermé.","Oh, but the restaurant is closed."
Story: I want a Pizza,,Ah! Tu as deux pizzas. Je peux acheter une de tes pizzas?,Ah! You have two pizzas. Can I buy one of your pizzas?
Story: I want a Pizza,,"Non, désolée. Il y a une pizza pour ma grand-mère, Lucie, et une pizza pour moi.","No, sorry. There is a pizza for my grandmother, Lucie, and a pizza for me."
Story: I want a Pizza,,Je peux avoir un peu de ta pizza?,Can I have some of your pizza?
Story: I want a Pizza,,"Non, Oscar.","No, Oscar."
Story: I want a Pizza,,Lin rentre chez elle.,Lin goes home.
Story: I want a Pizza,,Je veux manger une pizza de chez Emilio maintenant.,I want to eat a pizza from Emilio's now.
Story: I want a Pizza,,Oscar prend son téléphone.,Oscar takes his phone.
Story: I want a Pizza,,"Salut, Lucie, c'est Oscar. Tu fais quelque chose pour le dîner?","Hi, Lucie, it's Oscar. Are you doing anything for dinner?"
Story: I want a Pizza,,Je mange une pizza avec Lin! Tu veux manger avec nous?,I'm eating a pizza with Lin! Do you want to eat with us?
Story: I want a Pizza,,"Bonne idée, merci!","Good idea, thank you!"
Radio: Important Destination,,Bonjour. Je m'appelle Louis. Je voyage au Sénégal.,Hello. My name is Louis. I am traveling to Senegal.
Radio: Important Destination,,Le Sénégal est un pays d'Afrique.,Senegal is an African country.
Radio: Important Destination,,Mes bagages sont ici. Ma destination est très importante pour moi. À bientôt.,My luggage is here. My destination is very important to me. See you soon.
Radio: Paul's Daily Routine,,Bonjour. Je m'appelle Paul. Le matin je bois un café et mange du pain.,Hello. My name is Paul. In the morning I drink a coffee and eat bread.
Radio: Paul's Daily Routine,,Après je vais au travail tous le jours.,"After, I go to work every day."
Radio: Paul's Daily Routine,,Je travaille dans une usine.,I work in a factory.
Radio: Paul's Daily Routine,,C'est intéressant et j'aime mon travail.,That's interesting and I love my job.
Radio: Paul's Daily Routine,,"Après le travail, je rentre chez moi et lis un livre.","After work, I go home and read a book."
Adventure: Lucy's Lost Luggage,,Où est ma valise?,Where is my suitcase?
Adventure: Lucy's Lost Luggage,,La valise bleue est à vous?,Is the blue suitcase yours?
Adventure: Lucy's Lost Luggage,,"Non, ma valise est jaune.","No, my suitcase is yellow."
Adventure: Lucy's Lost Luggage,,Votre valise n'est pas ici.,Your suitcase is not here.
Adventure: Lucy's Lost Luggage,,Vous devez voir ça avev la compagnie aérienne.,You must see this with the airline.
Adventure: Lucy's Lost Luggage,,Je dois trouver ma valise.,I have to find my suitcase.
Adventure: Lucy's Lost Luggage,,Pas de problème! ,No problem!
Adventure: Lucy's Lost Luggage,,Quand est-ce que vous êtes arrivée?,When did you arrive?
Adventure: Lucy's Lost Luggage,,Je suis arrivée à 14h00.,I arrived at 2:00 PM.
Adventure: Lucy's Lost Luggage,,Et d'où est-ce que vous venez?,And where do you come from?
Adventure: Lucy's Lost Luggage,,Je viens en cours chaque lundi.,I come to class every Monday.
Adventure: Lucy's Lost Luggage,,"Apprendre, c'est important.",Learning is important.
Adventure: Lucy's Lost Luggage,,Mais de quelle ville est-ce que vous venez?,But which city do you come from?
Adventure: Lucy's Lost Luggage,,"Je viens de Berlin, en Allemagne.","I come from Berlin, in Germany."
Adventure: Lucy's Lost Luggage,,"Je peux voir votre passeport, s'il vous plaît?","May I see your passport, please?"
Adventure: Lucy's Lost Luggage,,Génial! J'ai trouvé votre valise.,Great! I found your suitcase.
Adventure: Lucy's Lost Luggage,,"Donnez ce billet à Eddy, l'homme devant les valises.","Give this ticket to Eddy, the man in front of the suitcases."
Adventure: Lucy's Lost Luggage,,"Ah, C'est encore vous!","Ah, it's you again!"
Adventure: Lucy's Lost Luggage,,Oui. La compagnie aérienne a trouvé ma valise!,Yes. The airline found my suitcase!
Adventure: Lucy's Lost Luggage,,Génial! Vous avez un billet pour la valise?,Great! Do you have a ticket for the suitcase?
Adventure: Lucy's Lost Luggage,,Je ne me sens pas bien.,I don't feel well.
Adventure: Lucy's Lost Luggage,,Je suis désolé. Je dois voir le billet pour votre valise.,I am sorry. I must see the ticket for your suitcase.
Adventure: Lucy's Lost Luggage,,"Oui, voici le billet.","Yes, here is the ticket."
Adventure: Lucy's Lost Luggage,,Oh non! J'ai donné votre valise à cette jeune femme!,Oh no! I gave your suitcase to that young woman!
Adventure: Lucy's Lost Luggage,,"Euh, excusez-moi, mais vous avez ma valise.","Um, excuse me, but you have my suitcase."
Adventure: Lucy's Lost Luggage,,"Ah, vous avez raison. Ma valise est voilette.","Ah, you are right. My suitcase is purple."
New words - Adventure,,voir ça,see that
New words - Adventure,,la compangnie aérienne,the airline company
New words - Adventure,,carte,"card, map, menu"
New words - Adventure,,distributeur automatique,vending machine
New words - Adventure,,trouver,to find
New words - Adventure,,Pas de problème,No problem
New words - Adventure,,arrivée,arrival
New words - Adventure,,portefeuille,wallet
New words - Adventure,,clés,keys
New words - Adventure,,encore,"still, yet, again, more, even"
New words - Adventure,,raison,reason
