category,color,word,meaning
Key Phrases - Refer to family members,,Ton père habite ici?,Does your father live here?
Key Phrases - Refer to family members,,"Non, mon père habite en Espagne.","No, my father lives in Spain."
Key Phrases - Refer to family members,,Ma famille habite en France.,My family lives in France.
Key Phrases - Refer to family members,,Le mari de Julia est mexicain.,Julia's husband is Mexican.
Key Phrases - Refer to family members,,Mon père a un chat.,My father has a cat.
Key Phrases - Refer to family members,,J'ai un animal de compagnie.,I have a pet.
Tip - Ma famille!,,mon père,my father
Tip - Ma famille!,,ma mère,my mother
Tip - Ma famille!,,ton frère,your brother
Tip - Ma famille!,,ta sœur,your sister
Tip - Ma famille!,,son fils,his son
Tip - Ma famille!,,sa fille,her daughter
Tip - Whose kid is this?,,le chat de Marie,Marie's cat
Tip - Whose kid is this?,,le chien d'Anna,Anna's dog
Video Call: Falstaff,,Comment s'appelle ton frère?,What's your brother's name?
Video Call: Falstaff,,Comment s'appelle ton père?,What's your father's name?
Video Call: Falstaff,,Mon frère s'appelle Kevin.,My brother's name is Kevin.
Video Call: Falstaff,,Mon père s'appelle Sam.,My father's name is Sam.
Radio: Pets and Conversation,,"Bonjour, Louis.","Hello, Louis."
Radio: Pets and Conversation,,"Bonjour, Lisa. Ça va?","Hello, Lisa. How are you?"
Radio: Pets and Conversation,,"Oui, et toi?","Yes, and you?"
Radio: Pets and Conversation,,Très bien. Merci. Tu as un animal de compagnie,Very well. Thank you. Do you have a pet?
Radio: Pets and Conversation,,"Oui, j'ai un chat. Et toi?","Yes, I have a cat. And you?"
Radio: Pets and Conversation,,"Non, mais mon père a un chien.","No, but my father has a dog."
Radio: Pets and Conversation,,"Ah, c'est chouette!","Ah, that's cool!"
Video Call: Falstaff 2,,Ta famille habite où?,Where does your family live?
Video Call: Falstaff 2,,Ma famille habite à Paris.,My family lives in Paris.
Video Call: Falstaff 2,,Ma famille habite à Bordeaux.,My family lives in Bordeaux.
Video Call: Falstaff 3,,C'est qui?,Who is it?
Video Call: Falstaff 3,,C'est mon frère.,He's my brother.
Video Call: Falstaff 3,,C'est mon père.,He's my father.
Video Call: Falstaff 3,,C'est ma sœur.,She's my sister.
Video Call: Falstaff 3,,C'est ma mère.,It's my mother.
Radio: Paris Garden Chat - Late Nights with Lin,,"Bonjour, je m'appelle Marie. Ma famille habite à Paris.","Hello, my name is Marie. My family lives in Paris."
Radio: Paris Garden Chat - Late Nights with Lin,,Mon père est français. ,My father is French.
Radio: Paris Garden Chat - Late Nights with Lin,,Ma mère est aussi française.,My mother is also French.
Radio: Paris Garden Chat - Late Nights with Lin,,J'ai un jardin à Paris.,I have a garden in Paris.
Radio: Paris Garden Chat - Late Nights with Lin,,"Dan le jardin, je joue avec mon animal de compagnie, un chat.","In the garden, I play with my pet, a cat."
Speak: Ask for Names,,Comment s'appelle ton frère?,What's your brother's name?
Speak: Ask for Names,,Mon frère s'appelle Marc.,My brother's name is Marc.
