category,color,word,meaning
Key Phrases - Talk about school,,.,.
Radio: Intense Studies - Late Nights with Lin,,"Bonjour, je m'appelle Paul, j’apprends le français tous les jours.","Hello, my name is Paul, I learn French every day."
Radio: Intense Studies - Late Nights with Lin,,Le français est parfois difficile pour moi.,French is sometimes difficult for me.
Radio: Intense Studies - Late Nights with Lin,,Je suis dans la salle de classe chaque jour.,I am in the classroom every day.
Radio: Intense Studies - Late Nights with Lin,,Nous apprenons beaucoup avec notre professeur.,We are learning a lot with our teacher.
Radio: Intense Studies - Late Nights with Lin,,Les élèves comprennent les leçons plus lentement. ,The students understand the lessons more slowly.
Radio: Classroom Disinterest - Lily and Strangers,,Bonjour. Je m'appelle Léo. Je suis un élève.,Hello. My name is Léo. I am a student.
Radio: Classroom Disinterest - Lily and Strangers,,"Les élèves sont dans la salle de classe aujourd'hui.
",The students are in the classroom today.
Radio: Classroom Disinterest - Lily and Strangers,,Les leçons de français sont parfois difficile.,French lessons are sometimes difficult.
Radio: Classroom Disinterest - Lily and Strangers,,Je veux comprendre cette leçon.,I want to understand this lesson.
Radio: Classroom Disinterest - Lily and Strangers,,Nous apprenons tous les jours.,We learn every day.
Radio: Learning Preferences - Falstaff’s Guide to Humans,,Salut Lisa. Aujourd'hui j'ai un examen de français.,Hi Lisa. Today I have a French exam.
Radio: Learning Preferences - Falstaff’s Guide to Humans,,Oh c'est intéressant. Est-ce que tu comprends tout?,"Oh, that's interesting. Do you understand everything?"
Radio: Learning Preferences - Falstaff’s Guide to Humans,,Parfois je ne comprends pas le professeur.,Sometimes I do not understand the teacher.
Radio: Learning Preferences - Falstaff’s Guide to Humans,,Tu peux prendre des cours.,You can take classes.
Radio: Learning Preferences - Falstaff’s Guide to Humans,,"Oui, je dois prendre des cours d'anglais aussi.","Yes, I also need to take English classes."
Radio: Learning Preferences - Falstaff’s Guide to Humans,,Peut-être que le français est plus facile pour toi.,Maybe French is easier for you.
