category,color,word,meaning
Key Phrases - Describe your home,,.,period
Radio: Antique Kindness - Oscar’s Antique Roadshow,,Bonjour je m'appelle Marie. Voici ma maison.,"Hello, my name is Marie. This is my house."
Radio: Antique Kindness - Oscar’s Antique Roadshow,,Il y a des arbres dans le jardin.,There are trees in the garden.
Radio: Antique Kindness - Oscar’s Antique Roadshow,,Les arbres sont grands et verts.,The trees are tall and green.
Radio: Antique Kindness - Oscar’s Antique Roadshow,,J’ai deux voisins ici. ,I have two neighbors here.
Radio: Antique Kindness - Oscar’s Antique Roadshow,,Mes voisins sont gentils.,My neighbors are kind.
Radio: White Chairs - Lilly and Strangers,,Bonjour. Je m’appelle Alice. Ma maison a quatre pièces.,Hello. My name is Alice. My house has four rooms.
Radio: White Chairs - Lilly and Strangers,,Il y a des chaises blanches dans le salon.,There are white chairs in the living room.
Radio: White Chairs - Lilly and Strangers,,J'ouvre la fenêtre pour voir les fleurs dans le jardin.,I open the window to see the flowers in the garden.
Radio: White Chairs - Lilly and Strangers,,Mes voisines sont gentilles et aiment les fleurs aussi.,My neighbors are kind and like flowers too.
Radio: White Chairs - Lilly and Strangers,,Nous aimons les fleurs blanches.,We like white flowers.
Radio: Shared Garden - Falstaff’s Guide to Humans,,Bonjour Alice. Tu ouvres la fenêtre?,Hello Alice. Are you opening the window?
Radio: Shared Garden - Falstaff’s Guide to Humans,,Oui je l’ouvre. Il y a un chien dans la jardin.,"Yes, I open it. There is a dog in the garden."
Radio: Shared Garden - Falstaff’s Guide to Humans,,"Ah je vois, il y a aussi des fleurs.","Oh I see, there are also flowers."
Radio: Shared Garden - Falstaff’s Guide to Humans,,Oui j'aime les fleurs.,Yes I like flowers.
Radio: Shared Garden - Falstaff’s Guide to Humans,,C'est un beau jardin. Le voisin est très gentil de partager.,It's a beautiful garden. The neighbor is very kind to share.
Radio: Shared Garden - Falstaff’s Guide to Humans,,"Oui, elle et chaise blanche sont belles aussi.","Yes, she and white chair are beautiful too."
