category,color,word,meaning
Key Phrases - Use the infinitive,,"Tu peux aller au supermarché, s'il te plaît?","Can you go to the supermarket, please?"
Key Phrases - Use the infinitive,,Il veut aller à l'hôtel.,He wants to go to the hotel.
Key Phrases - Use the infinitive,,J'aime marcher dans la rue.,I like walking down the street.
Key Phrases - Use the infinitive,,Tu ne peux pas tourner ici.,You cannot turn here.
Key Phrases - Use the infinitive,,"Je dois trouver les toilettes, c'est important!","I must find the restroom, it's important!"
Tip - Adjectives,,un pont dangereux,a dangerous bridge
Tip - Adjectives,,des ponts dangereux,dangerous bridges
Tip - Adjectives,,une rue dangereuse,a dangerous street
Tip - Adjectives,,des rues dangereuses,dangerous streets
Tip - Adjectives,,Ce lieu est dangereux.,This place is dangerous.
Radio: Street Directions - Lucy is Listening,,"Bonjour, Samia. Veux-tu visiter ce lieu?","Hello, Samia. Do you want to visit this place?"
Radio: Street Directions - Lucy is Listening,,"Oui, c'est un immeuble très intéressant.","Yes, it is a very interesting building."
Radio: Street Directions - Lucy is Listening,,"C'est près du parc, non?","It's near the park, right?"
Radio: Street Directions - Lucy is Listening,,"Oui, près d'un café et d'un parc.","Yes, near a café and a park."
Radio: Street Directions - Lucy is Listening,,Je dois aller à gauche alors.,I have to go left then.
Radio: Street Directions - Lucy is Listening,,"Oui, la première rue à gauche.","Yes, the first street on the left."
Radio: Human Directions - Falstaff’s Guide to Humans,,"Bonjour, Alice. C'est loin d'ici le supermarché?","Hello, Alice. Is the supermarket far from here?"
Radio: Human Directions - Falstaff’s Guide to Humans,,"Bonjour, Emma. Non, c'est près du pont.","Hello, Emma. No, it's near the bridge."
Radio: Human Directions - Falstaff’s Guide to Humans,,Je dois aller à droite?,Should I go right?
Radio: Human Directions - Falstaff’s Guide to Humans,,"Oui, prends la deuxième rue à droite.","Yes, take the second street on the right."
Radio: Human Directions - Falstaff’s Guide to Humans,,Ah merci. Le musée du chocolat est ici aussi?,Oh thank you. Is the chocolate museum here too?
Radio: Human Directions - Falstaff’s Guide to Humans,,"Oui, le musée est à gauche de la rue.","Yes, the museum is on the left of the street."
Radio: Daily Park Routine - Late Nights with Lin,,"Salut, je m'appelle Alice. Chaque jour je vais au parc.","Hello, my name is Alice. Every day I go to the park."
Radio: Daily Park Routine - Late Nights with Lin,,J'aime marcher dans Paris.,I like walking in Paris.
Radio: Daily Park Routine - Late Nights with Lin,,Je marche près du pont.,I walk near the bridge.
Radio: Daily Park Routine - Late Nights with Lin,,Ensuite je vais à gauche et je suis devant un café.,Then I go left and I am in front of a cafe.
Radio: Daily Park Routine - Late Nights with Lin,,J’aime beaucoup ce lieu.,I like this place a lot.
