category,color,word,meaning
Key Phrases - Use the present tense,,.,period
Radio: Nighttime Reading - Late Nights with Lin,,Salut. Je m'appelle Paul.,"Hello. My name is Paul. Every evening, I read books."
Radio: Nighttime Reading - Late Nights with Lin,,"Chaque soir, je lis des livres.",Please provide the French text you would like translated.
Radio: Nighttime Reading - Late Nights with Lin,,J'aime lire avant de dormir.,I like to read before sleeping.
Radio: Nighttime Reading - Late Nights with Lin,,Parfois je lis un journal.,Sometimes I read a newspaper.
Radio: Nighttime Reading - Late Nights with Lin,,Les enfants jouent chaque jour.,The children play every day.
Radio: Nighttime Reading - Late Nights with Lin,,"Et moi, je lis chaque soir.",And I read every evening.
Radio: Nighttime Reading - Late Nights with Lin,,C'est le soir et je suis prête à lire. ,It is the evening and I am ready to read.
Radio: Evening Routines - Falstaff’s Guide to Humans,,"Bonjour, Samia. Tu lis souvent?","Hello, Samia. Do you read often?"
Radio: Evening Routines - Falstaff’s Guide to Humans,,"Bonjour, Paul. Oui, je lis chaque soir.","Hello, Paul. Yes, I read every evening."
Radio: Evening Routines - Falstaff’s Guide to Humans,,Tu as une radio?,Do you have a radio?
Radio: Evening Routines - Falstaff’s Guide to Humans,,"Oui, je l'écoute souvent après le dîner.","Yes, I often listen to it after dinner."
Radio: Evening Routines - Falstaff’s Guide to Humans,,Moi aussi j'écoute la radio chaque soir.,I also listen to the radio every evening.
Radio: Evening Routines - Falstaff’s Guide to Humans,,Et après je regarde la télé.,"And after, I watch TV."
Radio: Evening Routines - Falstaff’s Guide to Humans,,"Ah, c’est une bonne soirée.","Ah, it is a good evening."
Radio: Secret Messages - Lucy is Listening,,Aujourd'hui c'est samedi.,It's Saturday today.
Radio: Secret Messages - Lucy is Listening,,"Oui, parfois je visite le musée le samedi.","Yes, sometimes I visit the museum on Saturday."
Radio: Secret Messages - Lucy is Listening,,Moi aussi. Mais je préfère regarder la télé.,Me too. But I prefer watching TV.
Radio: Secret Messages - Lucy is Listening,,"Ah, j'écoute souvent la radio le samedi.","Ah, I often listen to the radio on Saturday."
Radio: Secret Messages - Lucy is Listening,,Chaque matin il regarde dans la télé dans ma famille.,Every morning he watches TV in my family.
Radio: Secret Messages - Lucy is Listening,,Et tu lis le journal aussi?,And you read the newspaper too?
Radio: Secret Messages - Lucy is Listening,,"Oui, je lis le journal anglais.","Yes, I read the English newspaper."
