category,color,word,meaning
Key Phrases - Describe your breakfast,,.,.
Radio: Breakfast Choices - Falstaff’s Guide to Humans,,Bonjour Louis. Tu veux des céréales au petit déjeuner?,Hello Louis. Do you want cereal for breakfast?
Radio: Breakfast Choices - Falstaff’s Guide to Humans,,"Non, je prends du café au lait tous les jours.","No, I have coffee with milk every day."
Radio: Breakfast Choices - Falstaff’s Guide to Humans,,Tu préfères le miel ou la confiture avec ça?,Do you prefer honey or jam with that?
Radio: Breakfast Choices - Falstaff’s Guide to Humans,,"J'adore le miel, et toi?","I love honey, and you?"
Radio: Breakfast Choices - Falstaff’s Guide to Humans,,"Moi, je n'aime pas le miel. Je mange de la confiture.",I don't like honey. I eat jam.
Radio: Breakfast Choices - Falstaff’s Guide to Humans,,"Alors, tu bois du thé avec ton petit déjeuner?","So, are you drinking tea with your breakfast?"
Radio: Breakfast Choices - Falstaff’s Guide to Humans,,"Oui, je bois du thé avec du lait.","Yes, I drink tea with milk."
Radio: Breakfast Routine - Late Nights with Lin,,Bonjour je m'appelle Lisa. J'adore le café au lait.,"Hello, my name is Lisa. I love latte."
Radio: Breakfast Routine - Late Nights with Lin,,Je bois du café au lait tous les jours au petit déjeuner.,I drink coffee with milk every day for breakfast.
Radio: Breakfast Routine - Late Nights with Lin,,Au petit déjeuner je prends aussi du pain avec de la confiture.,"For breakfast, I also have bread with jam."
Radio: Breakfast Routine - Late Nights with Lin,,"Au petit déjeuner, je prends aussi du pain avec de la confiture.","For breakfast, I also have bread with jam."
Radio: Breakfast Routine - Late Nights with Lin,,J'adore les matins avec du pain et de la confiture.,I love mornings with bread and jam.
Radio: Breakfast Routine - Late Nights with Lin,,Après je vais souvent au parc avec mes amis.,"After, I often go to the park with my friends."
Radio: Cafe Rendezvous - Lucy is Listening,,Salut Samia. Tu aimes la brioche au petit déjeuner?,Hello Samia. Do you like brioche for breakfast?
Radio: Cafe Rendezvous - Lucy is Listening,,"Oui, j'adore la brioche. Et toi, Louis?","Yes, I love brioche. And you, Louis?"
Radio: Cafe Rendezvous - Lucy is Listening,,Je préfère les céréales. Je prends des céréales tous les jours.,I prefer cereal. I have cereal every day.
Radio: Cafe Rendezvous - Lucy is Listening,,"Ah, intéressant. Bois-tu du café avec?","Ah, interesting. Do you drink coffee with it?"
Radio: Cafe Rendezvous - Lucy is Listening,,"Non, je bois du thé. Et toi, bois-tu du café?","No, I drink tea. And you, do you drink coffee?"
Radio: Cafe Rendezvous - Lucy is Listening,,"Oui, je veux prendre un café au lait, s'il te plaît.","Yes, I want to have a coffee with milk, please."
