category,color,word,meaning
Key Phrases - Order food and drink,,Tu veux une bière?,Do you want a beer?
Key Phrases - Order food and drink,,"Non, je voudrais un verre de vin.","No, I would like a glass of wine."
Key Phrases - Order food and drink,,"Ok, et tu prends un sandwich ou une pizza?","Ok, and are you having a sandwich or a pizza?"
Key Phrases - Order food and drink,,Je voudrais un dessert.,I would like a dessert.
Key Phrases - Order food and drink,,"L'addition, s'il vous plaît!","The bill, please."
Key Phrases - Order food and drink,,"Une table pour deux personnes, s'il vous plaît!","A table for two people, please!"
Tip - Je voudrais un verre d'eau!,,une bouteille d'eau,a bottle of water
Tip - Je voudrais un verre d'eau!,,un fromage d'Italie,an Italian cheese
Tip - Je voudrais un verre d'eau!,,"quatre verres d""eau",four glasses of water
Radio: Humans and Drink - Falstaff’s Guide to Humans,,"Bonjour, Paul. Tu prends un café?","Hello, Paul. Are you having a coffee?"
Radio: Humans and Drink - Falstaff’s Guide to Humans,,Non je voudrais un thé s'il vous plaît.,"No, I would like a tea, please."
Radio: Humans and Drink - Falstaff’s Guide to Humans,,"Ah, un thé. Tu veux un dessert?","Ah, a tea. Do you want a dessert?"
Radio: Humans and Drink - Falstaff’s Guide to Humans,,Oui j'aimerais un dessert.,"Yes, I would like a dessert."
Radio: Humans and Drink - Falstaff’s Guide to Humans,,Moi aussi. Le serveur est là-bas.,Me too. The waiter is over there.
Radio: Humans and Drink - Falstaff’s Guide to Humans,,Parfait. Je vais commander.,Perfect. I will order.
Radio: Dessert Dedication - Late Nights with Lin,,Bonjour. Je m'appelle Alice. Tous les jours je vais au restaurant.,Hello. My name is Alice. Every day I go to the restaurant.
Radio: Dessert Dedication - Late Nights with Lin,,Je prends souvent un café.,I often have a coffee.
Radio: Dessert Dedication - Late Nights with Lin,,J'aime bien une tasse de thé aussi.,I also like a cup of tea.
Radio: Dessert Dedication - Late Nights with Lin,,Je voudrais un dessert à la fin.,I would like a dessert at the end.
Radio: Dessert Dedication - Late Nights with Lin,,"Le dessert c'est pour moi, et l'addition c'est pour moi aussi.","The dessert is on me, and the bill is on me too."
Radio: Talking to Strangers - Lily and Strangers,,"Bonjour, je m'appelle Louis. Je suis serveur dans un restaurant.","Hello, my name is Louis. I am a waiter in a restaurant."
Radio: Talking to Strangers - Lily and Strangers,,Je prends souvent des commandes de cafés et de thés.,I often take coffee and tea orders.
Radio: Talking to Strangers - Lily and Strangers,,"Aujourd'hui, je voudrais un café pour moi.","Today, I would like a coffee for myself."
Radio: Talking to Strangers - Lily and Strangers,,La serveuse est très sympathique.,The waitress is very friendly.
Radio: Talking to Strangers - Lily and Strangers,,Elle travaille aussi avec moi au restaurant.,She also works with me at the restaurant.
